Sample,Time(ms),A0(V),A1(V),A2(V),A3(V)
1,2,0.792,0.000,0.000,0.000
2,4,0.797,0.000,0.000,0.000
3,6,0.792,0.000,0.000,0.000
4,8,0.797,0.000,0.000,0.000
5,10,0.792,0.000,0.000,0.000
6,12,0.792,0.000,0.000,0.000
7,14,0.792,0.000,0.000,0.000
8,17,0.787,0.000,0.000,0.000
9,20,0.792,0.000,0.000,0.000
10,23,0.792,0.000,0.000,0.000
11,25,0.787,0.000,0.000,0.000
12,28,0.792,0.000,0.000,0.000
13,30,0.782,0.000,0.000,0.000
14,33,0.792,0.000,0.000,0.000
15,36,0.797,0.000,0.000,0.000
16,38,0.787,0.000,0.000,0.000
17,41,0.787,0.000,0.000,0.000
18,43,0.787,0.000,0.000,0.000
19,46,0.777,0.000,0.000,0.000
20,48,0.787,0.000,0.000,0.000
21,51,0.792,0.000,0.000,0.000
22,54,0.787,0.000,0.000,0.000
23,56,0.782,0.000,0.000,0.000
24,59,0.777,0.000,0.000,0.000
25,62,0.787,0.000,0.000,0.000
26,65,0.787,0.000,0.000,0.000
27,68,0.777,0.000,0.000,0.000
28,70,0.787,0.000,0.000,0.000
29,73,0.782,0.000,0.000,0.000
30,75,0.777,0.000,0.000,0.000
31,78,0.787,0.000,0.000,0.000
32,80,0.787,0.000,0.000,0.000
33,83,0.787,0.000,0.000,0.000
34,86,0.782,0.000,0.000,0.000
35,88,0.777,0.000,0.000,0.000
36,91,0.787,0.000,0.000,0.000
37,93,0.787,0.000,0.000,0.000
38,96,0.777,0.000,0.000,0.000
39,98,0.787,0.000,0.000,0.000
40,101,0.787,0.000,0.000,0.000
41,105,0.777,0.000,0.000,0.000
42,107,0.777,0.000,0.000,0.000
43,110,0.777,0.000,0.000,0.000
44,113,0.787,0.000,0.000,0.000
45,115,0.782,0.000,0.000,0.000
46,118,0.782,0.000,0.000,0.000
47,121,0.782,0.000,0.000,0.000
48,123,0.782,0.000,0.000,0.000
49,126,0.772,0.000,0.000,0.000
50,129,0.777,0.000,0.000,0.000
51,131,0.777,0.000,0.000,0.000
52,134,0.777,0.000,0.000,0.000
53,136,0.782,0.000,0.000,0.000
54,139,0.777,0.000,0.000,0.000
55,142,0.777,0.000,0.000,0.000
56,144,0.777,0.000,0.000,0.000
57,148,0.777,0.000,0.000,0.000
58,151,0.772,0.000,0.000,0.000
59,153,0.777,0.000,0.000,0.000
60,156,0.777,0.000,0.000,0.000
61,159,0.777,0.000,0.000,0.000
62,161,0.777,0.000,0.000,0.000
63,164,0.777,0.000,0.000,0.000
64,167,0.772,0.000,0.000,0.000
65,169,0.777,0.000,0.000,0.000
66,172,0.777,0.000,0.000,0.000
67,175,0.772,0.000,0.000,0.000
68,177,0.777,0.000,0.000,0.000
69,180,0.777,0.000,0.000,0.000
70,183,0.777,0.000,0.000,0.000
71,185,0.777,0.000,0.000,0.000
72,188,0.777,0.000,0.000,0.000
73,192,0.777,0.000,0.000,0.000
74,194,0.777,0.000,0.000,0.000
75,197,0.772,0.000,0.000,0.000
76,200,0.777,0.000,0.000,0.000
77,202,0.777,0.000,0.000,0.000
78,205,0.767,0.000,0.000,0.000
79,208,0.772,0.000,0.000,0.000
80,210,0.772,0.000,0.000,0.000
81,213,0.767,0.000,0.000,0.000
82,216,0.777,0.000,0.000,0.000
83,218,0.777,0.000,0.000,0.000
84,221,0.772,0.000,0.000,0.000
85,223,0.772,0.000,0.000,0.000
86,226,0.772,0.000,0.000,0.000
87,229,0.762,0.000,0.000,0.000
88,231,0.772,0.000,0.000,0.000
89,235,0.772,0.000,0.000,0.000
90,238,0.767,0.000,0.000,0.000
91,240,0.777,0.000,0.000,0.000
92,243,0.772,0.000,0.000,0.000
93,246,0.762,0.000,0.000,0.000
94,248,0.772,0.000,0.000,0.000
95,251,0.772,0.000,0.000,0.000
96,254,0.772,0.000,0.000,0.000
97,256,0.772,0.000,0.000,0.000
98,259,0.772,0.000,0.000,0.000
99,262,0.772,0.000,0.000,0.000
100,264,0.767,0.000,0.000,0.000
101,267,0.767,0.000,0.000,0.000
